history_data,total,qed,sa,docking_score,smiles
GEN1-ROOT|GPT-1-5eb648|CROSSOVER-d4d5d6_571d1e,-7.000000,0.381664,3.571219,-7.000000,[H]/C(=C(/C#N)C(=O)OC([H])(C#N)C([H])([H])[H])C1([H])C([H])([H])C1([H])[H]
GEN1-ROOT|GPT-1-612290|CROSSOVER-c7b986_142809,-6.900000,0.832538,3.679783,-6.900000,[H]OC(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])c1c(Cl)c([H])c([H])c([H])c1OC([H])(C#N)C([H])([H])[H]
GEN1-ROOT|GPT-1-612290|CROSSOVER-c7b986_142809|CROSSOVER-528d84_3010e4,-9.000000,0.311862,3.179840,-9.000000,[H]OC(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])c1c([H])c([H])c(OC(=O)c2c(Oc3c([H])c([H])c([H])c([H])c3[H])nc([H])c([H])c2[H])c(F)c1Cl
GEN1-ROOT|GPT-1-612290|CROSSOVER-c7b986_142809|CROSSOVER-528d84_3010e4|CROSSOVER-b9f115_d2207d,-8.700000,0.719634,3.518540,-8.700000,[H]OC(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])c1c([H])c(F)c(OC([H])([H])C2([H])Oc3c([H])c([H])c([H])c([H])c3C2([H])[H])c(Br)c1[H]
GEN1-ROOT|GPT-1-612290|CROSSOVER-c7b986_142809|CROSSOVER-528d84_6a2f00,-10.000000,0.786394,2.910794,-10.000000,[H]c1c([H])c([H])c(C([H])([H])N2N=C(C(=O)N([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3OC([H])(C#N)C([H])([H])[H])C([H])([H])C([H])([H])C2=O)c([H])c1[H]
GEN1-ROOT|GPT-1-612290|CROSSOVER-c7b986_142809|CROSSOVER-528d84_6a2f00|CROSSOVER-b76f63_1e2849,-9.400000,0.684250,3.067734,-9.400000,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C2=NN(C([H])([H])c3c([H])c([H])c(N([H])C([H])([H])[H])c([H])c3[H])C(=O)C([H])([H])C2([H])[H])c(OC([H])(C#N)C([H])([H])[H])c1[H]
GEN1-ROOT|GPT-1-612290|CROSSOVER-c7b986_142809|CROSSOVER-528d84_6a2f00|CROSSOVER-b76f63_9570cc,-10.000000,0.552207,2.268961,-10.000000,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)c2c([H])c(C(=O)C([H])([H])[H])c([H])n2C([H])([H])[H])c(Oc2c([H])c([H])c(Br)c([H])c2F)c1[H]
GEN1-ROOT|GPT-1-612290|CROSSOVER-c7b986_142809|CROSSOVER-528d84_c62e96,-7.000000,0.681713,2.241686,-7.000000,[H]c1c([H])c([H])c(C([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])c(Cl)c1[H]
GEN1-ROOT|GPT-1-612290|CROSSOVER-c7b986_142809|CROSSOVER-528d84_c62e96|CROSSOVER-699336_60d20c,-6.900000,0.828953,2.602942,-6.900000,[H]c1c([H])c(C([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])c(Cl)c([H])c1N([H])C([H])([H])[H]
GEN1-ROOT|GPT-1-6cbede|CROSSOVER-684843_ef89e2|CROSSOVER-081fd9_1ab7fb,-8.600000,0.547296,2.876171,-8.600000,[H]OC(=O)c1sc2c(c1[H])C([H])([H])C([H])(c1c([H])c([H])c([H])c([H])c1Oc1c([H])c([H])c(Br)c([H])c1F)C2([H])[H]
GEN1-ROOT|GPT-1-6e44a3|CROSSOVER-5bbef4_70436c,-8.600000,0.513382,3.211431,-8.600000,[H]OC(=Nc1c([H])c([H])c(C([H])([H])C(F)=C(F)F)c([H])c1[H])C(=O)C(=O)C([H])([H])[H]
GEN1-ROOT|GPT-1-6e44a3|CROSSOVER-5bbef4_70436c|CROSSOVER-8b707a_60d20c,-7.600000,0.515510,2.756070,-7.600000,[H]OC(=Nc1c([H])c([H])c(C([H])([H])C([H])([H])[H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H])C(=O)C(=O)C([H])([H])[H]
GEN1-ROOT|GPT-1-6e44a3|CROSSOVER-5bbef4_70436c|CROSSOVER-8b707a_a9517e,-8.500000,0.881367,3.567378,-8.500000,[H]c1c([H])c([H])c2c([H])c(C([H])(C(F)=C(F)F)N([H])[H])oc2c1Cl
GEN1-ROOT|GPT-1-6e44a3|CROSSOVER-5bbef4_70436c|CROSSOVER-8b707a_a9517e|CROSSOVER-a635c9_a9e36b,-7.600000,0.626328,2.393351,-7.600000,[H]c1c([H])c(C([H])C(F)=C(F)F)c([H])c([H])c1F
GEN1-ROOT|GPT-1-6e44a3|CROSSOVER-5bbef4_70436c|CROSSOVER-8b707a_a9517e|CROSSOVER-a635c9_f48d51|CROSSOVER-ee381e_7ec8a5,-10.100000,0.496103,2.051266,-10.100000,[H]c1c([H])c([H])c(N([H])C([H])([H])c2c([H])c([H])c(C([H])([H])OC(=O)c3c([H])c([H])c([H])c(F)c3N([H])[H])c(F)c2[H])c([H])c1[H]
GEN1-ROOT|GPT-1-6e44a3|CROSSOVER-5bbef4_70436c|CROSSOVER-8b707a_b6e0ec,-9.600000,0.769173,3.185043,-9.600000,[H]c1nc(-c2c([H])c([H])c([H])c(C([H])(C(F)=C(F)F)N(C([H])([H])[H])C([H])([H])[H])c2[H])c([H])c([H])c1F
GEN1-ROOT|GPT-1-6e44a3|CROSSOVER-5bbef4_70436c|CROSSOVER-8b707a_b6e0ec|CROSSOVER-b5d838_055411|CROSSOVER-fac6b8_75e9a3|CROSSOVER-f4f571_209483,-8.400000,0.798849,2.698608,-8.400000,[H]c1c([H])c([H])c(C([H])([H])N2C([H])([H])C([H])([H])C3(C2([H])[H])C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c(F)c1[H]
GEN1-ROOT|GPT-1-6e44a3|CROSSOVER-5bbef4_70436c|CROSSOVER-8b707a_b6e0ec|CROSSOVER-b5d838_b76f63,-7.600000,0.792108,3.129702,-7.600000,[H]c1c([H])c([H])c(C([H])(C(F)=C(F)F)N([H])C([H])([H])[H])c([H])c1[H]
GEN1-ROOT|GPT-1-6f56ba|CROSSOVER-160343_e01395,-7.000000,0.703643,2.399803,-7.000000,[H]c1c([H])c(C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])[H])c2c(nc3c([H])c([H])c([H])c([H])n32)c1[H]
GEN1-ROOT|GPT-1-713b9b|CROSSOVER-50197c_285b4a,-8.400000,0.617660,2.046113,-8.400000,[H]c1c([H])c(C([H])([H])C([H])([H])[H])c(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1N([H])N([H])[H]
GEN1-ROOT|GPT-1-713b9b|CROSSOVER-50197c_53c1d0,-7.900000,0.717381,3.218961,-7.900000,[H]N([H])C([H])([H])C(C(=O)N([H])[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C1([H])[H])(C([H])([H])[H])C([H])([H])[H]
GEN1-ROOT|GPT-1-713b9b|CROSSOVER-50197c_65ee25,-7.500000,0.606940,1.662519,-7.500000,[H]C1([H])N(C(=O)C2([H]):C([H])([H]):C([H])([H]):C([H])([H]):C([H])([H]):C:2([H])[H])C([H])([H])C([H])([H])C1([H])[H]
GEN1-ROOT|GPT-1-713b9b|CROSSOVER-50197c_cb0d7c,-9.200000,0.407218,2.450146,-9.200000,[H]c1c([H])c([H])c(-c2nn(C([H])([H])OC([H])([H])c3c([H])c([H])c([H])c(N([H])N([H])[H])c3[H])c([H])c2C([H])([H])C([H])([H])C([H])([H])N([H])[H])c([H])c1[H]
GEN1-ROOT|GPT-1-713b9b|CROSSOVER-50197c_d5da38,-7.600000,0.433053,2.628814,-7.600000,[H]Oc1c(-c2nc([H])c([H])c([H])c2[H])nc(C([H])([H])c2c([H])c([H])c([H])c(N([H])N([H])[H])c2[H])n1[H]
GEN1-ROOT|GPT-1-713b9b|CROSSOVER-50197c_d8c290,-8.100000,0.563280,1.762106,-8.100000,[H]c1c([H])c(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(N([H])N([H])[H])c1[H]
GEN1-ROOT|GPT-1-713b9b|CROSSOVER-50197c_fdf8f7,-9.700000,0.643174,1.903091,-9.700000,[H]c1c([H])c([H])c(Oc2c([H])c(F)c([H])c([H])c2C(=O)N([H])c2c([H])c([H])c([H])c(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c,-7.400000,0.912307,2.224717,-7.400000,[H]c1c([H])c(Br)c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(C([H])([H])N([H])C2([H])C([H])([H])C2([H])[H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_02b86f,-6.800000,0.722645,1.604091,-6.800000,[H]c1c([H])c(F)c([H])c(C([H])([H])N([H])C2([H])C([H])([H])C2([H])[H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_08dd2f,-7.800000,0.644940,2.727677,-7.800000,[H]c1c([H])c(Cl)c(OC([H])([H])C([H])([H])[H])c(C([H])(N([H])C([H])([H])C([H])([H])C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_1e2849,-10.000000,0.700583,2.459480,-10.000000,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C2=NN(C([H])([H])c3c([H])c([H])c(N([H])C([H])([H])[H])c([H])c3[H])C(=O)C([H])([H])C2([H])[H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_1e2849|CROSSOVER-842728_209483,-10.200000,0.650921,2.474625,-10.200000,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C2=NN(C([H])([H])c3c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c3[H])C(=O)C([H])([H])C2([H])[H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_1e2849|CROSSOVER-842728_209483|CROSSOVER-7701ed_5fa1dd,-7.500000,0.378567,3.092679,-7.500000,[H]c1nnc([H])c(N([H])[H])c1-c1c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c([H])c1C([H])([H])N1N=C(C(=O)N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C1=O
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_1e2849|CROSSOVER-842728_fa10cc,-9.800000,0.700583,2.459480,-9.800000,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C2=NN(C([H])c3c([H])c([H])c(N([H])C([H])([H])[H])c([H])c3[H])C(=O)C([H])([H])C2([H])[H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_1e2849|CROSSOVER-842728_fa10cc|CROSSOVER-725a15_a574c7,-7.500000,0.819621,2.866144,-7.500000,[H]c1c([H])c(C([H])(N([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])C2([H])[H])C([H])([H])[H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])C([H])([H])[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_29fde1,-9.800000,0.538154,2.217259,-9.800000,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(C([H])(Oc3c([H])c([H])c([H])c([H])c3Br)C([H])([H])[H])c2[H])c([H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_b6e0ec|CROSSOVER-811b7d_62057c|CROSSOVER-75e9a3_cfbcbd,-10.100000,0.469508,2.787579,-10.100000,[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C([H])(N([H])C(=O)C3=NN(C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])C(=O)C([H])([H])C3([H])[H])C([H])([H])N([H])[H])c([H])c2[H])c([H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_b6e0ec|CROSSOVER-811b7d_62057c|CROSSOVER-75e9a3_cfbcbd|CROSSOVER-303831_209483,-9.800000,0.330329,2.966118,-9.800000,[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C([H])(N([H])C(=O)C3=NN(C([H])([H])c4c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c4[H])C(=O)C([H])([H])C3([H])[H])C([H])([H])N([H])[H])c([H])c2[H])c([H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_c7241a,-6.900000,0.834969,1.699906,-6.900000,[H]c1c([H])c(Br)c([H])c(C([H])([H])N([H])C2([H])C([H])([H])C2([H])[H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_80a053,-9.000000,0.750980,2.530014,-9.000000,[H]C([H])=C([H])c1c([H])c([H])c([H])c(OC([H])(c2c([H])c([H])c([H])c(Br)c2[H])C([H])([H])[H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_80a053|CROSSOVER-2671f8_b77ae9,-8.900000,0.494546,2.824222,-8.900000,[H]C([H])=C([H])c1c([H])c([H])c([H])c(OC([H])(c2c([H])c([H])c([H])c([H])c2Oc2c([H])c([H])c(Br)c([H])c2F)C([H])([H])N([H])[H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_80a053|CROSSOVER-2671f8_cb0d7c,-8.900000,0.568250,2.947264,-8.900000,[H]c1c([H])c([H])c(-c2nn(C([H])([H])OC([H])(c3c([H])c([H])c([H])c(Br)c3[H])C([H])([H])[H])c([H])c2C([H])([H])C([H])([H])C([H])([H])N([H])[H])c([H])c1[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_97d34d,-6.900000,0.904104,2.438193,-6.900000,[H]c1c([H])c(C([H])([H])N([H])C2([H])C([H])([H])C2([H])[H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(Br)c1F
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_97d34d|CROSSOVER-f22f6c_5a1444,-6.300000,0.925614,3.054072,-6.300000,[H]c1nnc([H])c(N([H])[H])c1-c1c(F)c([H])c([H])c(C([H])([H])C([H])(F)F)c1N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_97d34d|CROSSOVER-f22f6c_5a1444|CROSSOVER-adeaa7_5f738d,-7.200000,0.610593,2.099739,-7.200000,[H]c1c([H])c(C([H])([H])C([H])(F)F)c([H])c(F)c1F
GEN1-ROOT|GPT-1-839b8e|CROSSOVER-ee3e6f_4b9d30,-7.700000,0.797484,2.918495,-7.700000,[H]c1c([H])c([H])c2c([H])c(C([H])(N([H])[H])C([H])([H])N([H])[H])oc2c1Cl
GEN1-ROOT|GPT-1-8f798f|CROSSOVER-30eacd_d53d84,-5.900000,0.592905,3.728051,-5.900000,[H]O[C@@](C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])N([H])C([H])([H])c1c([H])c([H])n([H])c1[H]
GEN1-ROOT|GPT-1-91bf30|CROSSOVER-33becf_9a9fe9,-5.000000,0.463748,4.432285,-5.000000,[H]C#C[C@@]1([H])C([H])([H])[C@@]1([H])C([H])([H])O[H]
GEN1-ROOT|GPT-1-ac1b6e|CROSSOVER-142809_b8775f,-7.000000,0.675399,1.753893,-7.000000,[H]c1c([H])c(Cl)c(C([H])([H])C([H])(C([H])[H])C([H])([H])[H])c(Cl)c1[H]
GEN1-ROOT|GPT-1-ac1b6e|CROSSOVER-142809_b8775f|CROSSOVER-cd8bdf_b0f072,-7.100000,0.675399,1.753893,-7.100000,[H]c1c([H])c(Cl)c(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(Cl)c1[H]
GEN1-ROOT|GPT-1-ac1b6e|CROSSOVER-142809_b8775f|CROSSOVER-cd8bdf_b0f072|CROSSOVER-51eed7_ee3e6f,-8.300000,0.842530,2.934471,-8.300000,[H]c1c([H])c([H])c2c([H])c(C([H])(N([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])oc2c1Cl
GEN1-ROOT|GPT-1-ac1b6e|CROSSOVER-142809_b8775f|CROSSOVER-cd8bdf_b0f072|CROSSOVER-51eed7_ee3e6f|CROSSOVER-c1def8_c48f84|CROSSOVER-f6b156_03cb38|CROSSOVER-0d7377_cfbcbd,-7.900000,0.883241,2.319484,-7.900000,[H]c1nc(N([H])C(=O)c2c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c(Cl)c2[H])c([H])nc1Br
GEN1-ROOT|GPT-1-ac1b6e|CROSSOVER-142809_b8775f|CROSSOVER-cd8bdf_b0f072|CROSSOVER-51eed7_ee3e6f|CROSSOVER-c1def8_c48f84|CROSSOVER-f6b156_0b5e00,-9.200000,0.567143,2.064944,-9.200000,[H]c1nc(Oc2c([H])c([H])c([H])c([H])c2[H])c(C(=O)Oc2c([H])c([H])c(C([H])([H])N([H])[H])c([H])c2F)c([H])c1[H]
GEN1-ROOT|GPT-1-ac1b6e|CROSSOVER-142809_b8775f|CROSSOVER-cd8bdf_b0f072|CROSSOVER-51eed7_ee3e6f|CROSSOVER-c1def8_c48f84|CROSSOVER-f6b156_0b5e00|CROSSOVER-055411_36de69,-9.900000,0.561640,2.043443,-9.900000,[H]c1nc(Oc2c([H])c([H])c([H])c([H])c2[H])c(C(=O)Oc2c([H])c([H])c(C(=O)N([H])[H])c([H])c2F)c([H])c1[H]
GEN1-ROOT|GPT-1-ac1b6e|CROSSOVER-142809_b8775f|CROSSOVER-cd8bdf_b0f072|CROSSOVER-51eed7_ee3e6f|CROSSOVER-c1def8_c48f84|CROSSOVER-f6b156_0b5e00|CROSSOVER-055411_c802e3_CROSSOVER-055411_a29a1e,-9.000000,0.491921,1.995129,-9.000000,[H]c1nc(Oc2c([H])c([H])c([H])c([H])c2[H])c(C(=O)Oc2c([H])c([H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c1[H]
GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61,-8.400000,0.684100,2.047284,-8.400000,[H]c1c([H])c(F)c(N([H])[H])c(C(=O)OC([H])([H])c2c([H])c([H])c(Br)c([H])c2F)c1[H]
