smiles,total,qed,sa,docking_score,history_data
[H]c1nc(-c2c([H])c(C([H])([H])OC(=O)c3c([H])c([H])c(C([H])([H])N([H])c4c([H])c([H])c([H])c([H])c4[H])c([H])c3[H])c([H])c([H])c2F)c([H])c([H])c1F,-11.100000,0.365731,2.113723,-11.100000,GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_73aa74|CROSSOVER-3dac7c_36c40e|CROSSOVER-7ff70b_e334c6
[H]C(=O)c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(OC(=O)c3c(Oc4c([H])c([H])c([H])c([H])c4[H])nc([H])c([H])c3[H])c(F)c2[H])c([H])c1F,-11.200000,0.217908,2.359316,-11.200000,GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_9570cc|CROSSOVER-9e913e_62057c|CROSSOVER-12ff0a_b08e44
[H]c1nc(N([H])C([H])(c2c([H])c([H])c([H])c(F)c2[H])C([H])([H])[H])c([H])nc1Br,-8.500000,0.940891,2.738981,-8.500000,GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_f4ca5b
[H]c1nc(N([H])C([H])(c2c([H])c(F)c([H])c([H])c2F)C([H])([H])[H])c([H])nc1Br,-8.700000,0.938743,2.892017,-8.700000,GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_f4ca5b|CROSSOVER-2617f5_1b928e
[H]c1c([H])c([H])c(Oc2c([H])c([H])c([H])c([H])c2C([H])([H])N([H])C(=O)c2c([H])c(C(=O)C([H])([H])[H])c([H])n2C([H])([H])[H])c([H])c1[H],-9.800000,0.686284,2.038866,-9.800000,GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_f4ca5b|CROSSOVER-2617f5_5c0edd
[H]c1c([H])c([H])c(C([H])([H])OC(=O)c2c([H])c([H])c([H])c(F)c2N([H])[H])c(F)c1[H],-9.100000,0.683921,1.855368,-9.100000,GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_ee40fd
[H]c1nnc([H])c(N([H])[H])c1-c1c([H])c([H])c([H])c(C([H])([H])C([H])(F)F)c1[H],-8.800000,0.888909,2.664208,-8.800000,GEN1-ROOT|GPT-1-dc8870|CROSSOVER-8ab121_f93f67|CROSSOVER-3794e5_2b38ee
[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(N(C([H])([H])[H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c2[H])c([H])c1[H],-9.400000,0.646995,1.569261,-9.400000,GEN1-ROOT|GPT-1-dc8870|CROSSOVER-8ab121_f93f67|CROSSOVER-3794e5_a29a1e|CROSSOVER-bdedb6_9534ae|CROSSOVER-cfcf17_a71501
[H]c1c([H])c([H])c2c(c1[H])OC([H])(C([H])([H])Oc1c(C([H])([H])N([H])C(=O)C3=NN(C([H])([H])c4c([H])c([H])c(N([H])C([H])([H])[H])c([H])c4[H])C(=O)C([H])([H])C3([H])[H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])[H])C2([H])[H],-10.600000,0.406845,3.265489,-10.600000,GEN2-ROOT|GPT-2-14337b|CROSSOVER-b0d750_8ea9be|CROSSOVER-145497_cb0d7c|CROSSOVER-4b0a1c_6da3ab|CROSSOVER-874e2f_842728
[H]c1c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c1[H],-6.100000,0.583207,1.041975,-6.100000,GEN2-ROOT|GPT-2-596fb9|CROSSOVER-f1f839_8e9fa8|CROSSOVER-77ae33_3e0e6a
[H]c1c([H])c([H])c(F)c([H])c1[H],-5.400000,0.461840,1.000000,-5.400000,GEN2-ROOT|GPT-2-596fb9|CROSSOVER-f1f839_8e9fa8|CROSSOVER-77ae33_3e0e6a|CROSSOVER-4e8fcc_3d5afd
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],-6.300000,0.514758,1.000000,-6.300000,GEN2-ROOT|GPT-2-eb08aa|CROSSOVER-a484ec_1e2849|CROSSOVER-92828c_c48f84
[H]c1c([H])c([H])c(C([H])([H])C([H])[H])c([H])c1[H],-6.300000,0.514758,1.000000,-6.300000,GEN2-ROOT|GPT-2-eb08aa|CROSSOVER-a484ec_1e2849|CROSSOVER-92828c_c48f84|CROSSOVER-62057c_88cf1b|CROSSOVER-7ecc78_31be44
[H]c1nnc([H])c(N([H])[H])c1-c1c(F)c([H])c([H])c(C([H])([H])C([H])(F)F)c1Cl,-8.400000,0.941907,3.142442,-8.400000,GEN3-ROOT|GPT-3-3a0d76|CROSSOVER-714a65_23e8c1|CROSSOVER-97d34d_51eed7|CROSSOVER-6c6732_5a1444
[H]c1nnc([H])c(N([H])[H])c1-c1c([H])c([H])c([H])c(C([H])([H])C([H])(F)F)c1Cl,-8.400000,0.930940,2.958711,-8.400000,GEN3-ROOT|GPT-3-3a0d76|CROSSOVER-714a65_23e8c1|CROSSOVER-97d34d_51eed7|CROSSOVER-6c6732_5a1444|CROSSOVER-7b2530_542de3
[H]c1c([H])c([H])c(C([H])([H])N([H])C([H])([H])c2c([H])c([H])c(F)c([H])c2[H])c([H])c1[H],-8.200000,0.825899,1.338125,-8.200000,GEN3-ROOT|GPT-3-3a0d76|CROSSOVER-714a65_23e8c1|CROSSOVER-97d34d_51eed7|CROSSOVER-6c6732_c48f84|CROSSOVER-c40e47_a9e36b
[H]c1c([H])c(C([H])([H])N(c2c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c(Cl)c2[H])C([H])([H])[H])c([H])c([H])c1F,-8.100000,0.911902,2.005021,-8.100000,GEN3-ROOT|GPT-3-3a0d76|CROSSOVER-714a65_23e8c1|CROSSOVER-97d34d_8e4401|CROSSOVER-9570cc_46d6b9|CROSSOVER-c24f90_f76d5f
[H]c1nc(-c2c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c([H])c2F)c([H])c([H])c1F,-8.700000,0.885860,2.082915,-8.700000,GEN3-ROOT|GPT-3-3a0d76|CROSSOVER-714a65_23e8c1|CROSSOVER-97d34d_8e4401|CROSSOVER-9570cc_4b9d30
[H]c1c([H])c([H])c(Oc2c([H])c(F)c([H])c([H])c2C(=O)N([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],-9.600000,0.746450,1.574581,-9.600000,GEN3-ROOT|GPT-3-3a0d76|CROSSOVER-714a65_23e8c1|CROSSOVER-97d34d_8e4401|CROSSOVER-9570cc_5f738d|CROSSOVER-5c0edd_d2ec95
[H]c1c([H])c([H])c(C([H])([H])N2N=C(C(=O)N([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C2=O)c([H])c1[H],-9.900000,0.820093,2.171433,-9.900000,GEN3-ROOT|GPT-3-7d5452|CROSSOVER-4c6380_1e564e
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C([H])([H])C([H])([H])N([H])C([H])([H])[H])c([H])c2[H])c([H])c1[H],-8.100000,0.861025,1.467910,-8.100000,GEN3-ROOT|GPT-3-96a418|CROSSOVER-e96847_a29a1e
[H]c1c([H])c(C([H])([H])C([H])([H])[H])c([H])c([H])c1N(C([H])([H])[H])C([H])([H])c1c([H])c([H])c(N2C([H])([H])C([H])([H])C3([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C3([H])C2([H])[H])c([H])c1[H],-10.800000,0.740538,2.984563,-10.800000,GEN3-ROOT|GPT-3-afd01a|CROSSOVER-e91e0d_1e2849|CROSSOVER-9534ae_a2408d
[H]c1c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c([H])c1N(C([H])([H])[H])C([H])([H])c1c([H])c([H])c(N2C([H])([H])C([H])([H])C3([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C3([H])C2([H])[H])c([H])c1[H],-10.200000,0.812257,3.077828,-10.200000,GEN3-ROOT|GPT-3-afd01a|CROSSOVER-e91e0d_1e2849|CROSSOVER-9534ae_a2408d|CROSSOVER-b7198f_a9e36b
[H]c1nc(-c2c([H])c(C([H])([H])OC(=O)c3c([H])c([H])c(C([H])([H])N([H])c4c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c4[H])c(F)c3[H])c([H])c([H])c2F)c([H])c([H])c1F,-11.000000,0.296642,2.435356,-11.000000,GEN3-ROOT|GPT-3-afd01a|CROSSOVER-e91e0d_1e2849|CROSSOVER-9534ae_a2408d|CROSSOVER-b7198f_a9e36b|CROSSOVER-7d4c93_7ff70b
[H]c1nc(Oc2c([H])c([H])c([H])c([H])c2[H])c(C(=O)Oc2c([H])c([H])c(C([H])([H])N(c3c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c3[H])C([H])([H])[H])c([H])c2[H])c([H])c1[H],-10.600000,0.276174,2.256528,-10.600000,GEN3-ROOT|GPT-3-afd01a|CROSSOVER-e91e0d_1e2849|CROSSOVER-9534ae_a2408d|CROSSOVER-b7198f_a9e36b|CROSSOVER-7d4c93_e334c6
[H]c1c([H])c(C([H])([H])N(c2c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c2[H])C([H])([H])[H])c(F)c([H])c1Br,-9.200000,0.782374,1.927018,-9.200000,GEN3-ROOT|GPT-3-afd01a|CROSSOVER-e91e0d_1e2849|CROSSOVER-9534ae_c62e96|CROSSOVER-aa1c3c_2c1ae8
[H]c1c([H])c(C([H])([H])N([H])c2c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c2[H])c([H])c(F)c1Br,-8.300000,0.858220,1.749538,-8.300000,GEN3-ROOT|GPT-3-afd01a|CROSSOVER-e91e0d_1e2849|CROSSOVER-9534ae_c62e96|CROSSOVER-aa1c3c_2c1ae8|CROSSOVER-19efc1_f48d51
[H]C([H])([H])C([H])([H])C([H])([H])c1noc(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])C2([H])[H])n1,-9.400000,0.810397,3.137263,-9.400000,GEN4-ROOT|GPT-4-d36546|CROSSOVER-604273_8f4f0b
[H]c1nc(Oc2c([H])c([H])c([H])c([H])c2[H])c(C(=O)Oc2c([H])c([H])c(C([H])([H])N([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2F)c([H])c1[H],-10.500000,0.303880,2.079512,-10.500000,GEN4-ROOT|GPT-4-d4b0cc|CROSSOVER-40cf42_c1e621|CROSSOVER-3010e4_18c94b|CROSSOVER-0b5e00_7ec8a5
[H]c1c([H])c([H])c(N([H])C([H])([H])c2c([H])c([H])c([H])c(F)c2[H])c([H])c1[H],-8.500000,0.801684,1.375515,-8.500000,GEN4-ROOT|GPT-4-d4b0cc|CROSSOVER-40cf42_c1e621|CROSSOVER-3010e4_18c94b|CROSSOVER-0b5e00_7ec8a5|CROSSOVER-e334c6_3e0e6a
[H]c1c([H])c([H])c(C(=O)N([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],-8.900000,0.787491,1.057450,-8.900000,GEN4-ROOT|GPT-4-d4b0cc|CROSSOVER-40cf42_c1e621|CROSSOVER-3010e4_18c94b|CROSSOVER-0b5e00_7ec8a5|CROSSOVER-e334c6_3e0e6a|CROSSOVER-f48d51_4c985d
[H]c1nc(Oc2c([H])c([H])c([H])c([H])c2[H])c(C(=O)Oc2c([H])c([H])c(C(=O)N([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2F)c([H])c1[H],-11.100000,0.324839,2.022880,-11.100000,GEN4-ROOT|GPT-4-d4b0cc|CROSSOVER-40cf42_c1e621|CROSSOVER-3010e4_18c94b|CROSSOVER-0b5e00_7ec8a5|CROSSOVER-e334c6_cfbcbd
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C([H])([H])C([H])([H])N([H])C([H])([H])[H])c([H])c2F)c([H])c1[H],-8.400000,0.878443,1.693553,-8.400000,GEN4-ROOT|GPT-4-d4b0cc|CROSSOVER-40cf42_c1e621|CROSSOVER-3010e4_d4a375
[H]C(=O)c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(OC(=O)c3c(Oc4c([H])c([H])c([H])c([H])c4[H])nc([H])c([H])c3[H])c(F)c2[H])c([H])c1[H],-11.100000,0.230495,2.221295,-11.100000,GEN4-ROOT|GPT-4-d4b0cc|CROSSOVER-40cf42_c1e621|CROSSOVER-3010e4_d4a375|CROSSOVER-73aa74_0b5e00
[H]C(=O)c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(OC(=O)c3c(Oc4cc([H])c([H])c([H])c4[H])nc([H])c([H])c3[H])c(F)c2[H])c([H])c1[H],-10.900000,0.230495,2.221295,-10.900000,GEN4-ROOT|GPT-4-d4b0cc|CROSSOVER-40cf42_c1e621|CROSSOVER-3010e4_d4a375|CROSSOVER-73aa74_0b5e00|CROSSOVER-b08e44_1ab7fb
[H]c1nc(Oc2c([H])c([H])c([H])c([H])c2[H])c(C(=O)Oc2c([H])c([H])c(C(=O)N([H])c3c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c3[H])c([H])c2F)c([H])c1[H],-10.700000,0.277341,2.216804,-10.700000,GEN4-ROOT|GPT-4-d4b0cc|CROSSOVER-40cf42_c1e621|CROSSOVER-3010e4_d4a375|CROSSOVER-73aa74_0b5e00|CROSSOVER-b08e44_7701ed
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c([H])c([H])c2OC([H])([H])C([H])([H])[H])c([H])c1[H],-8.400000,0.891126,1.326312,-8.400000,GEN4-ROOT|GPT-4-d4b0cc|CROSSOVER-40cf42_c1e621|CROSSOVER-3010e4_d4a375|CROSSOVER-73aa74_6a2f00
[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)c2c([H])c([H])c(C([H])([H])C([H])([H])N([H])C([H])([H])[H])c([H])c2F)c([H])c1[H],-8.800000,0.856482,1.741193,-8.800000,GEN4-ROOT|GPT-4-d4b0cc|CROSSOVER-40cf42_c1e621|CROSSOVER-3010e4_d4a375|CROSSOVER-73aa74_6fa32e
[H]c1c([H])c([H])c(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],-7.700000,0.638235,1.284253,-7.700000,GEN4-ROOT|GPT-4-d4b0cc|CROSSOVER-40cf42_c1e621|CROSSOVER-3010e4_ee40fd|CROSSOVER-9718ad_e79029|CROSSOVER-fa1fc2_50197c
[H]c1nc(-c2c([H])c([H])c([H])c(C([H])(Oc3c([H])c([H])c([H])c([H])c3C([H])([H])N([H])C(=O)C3=NN(C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])C(=O)C([H])([H])C3([H])[H])C([H])([H])N([H])[H])c2[H])c([H])c([H])c1F,-11.400000,0.295371,3.198488,-11.400000,GEN8-ROOT|GPT-8-ba2fae|CROSSOVER-59e495_b6e0ec|CROSSOVER-80a053_4b9d30|CROSSOVER-fa10cc_542de3|CROSSOVER-e79029_b76f63
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C([H])([H])N([H])C([H])(C([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c1[H],-9.000000,0.871866,1.471235,-9.000000,ROOT-0|CROSSOVER-7c103a_412d72
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c1[H],-8.700000,0.871866,1.471235,-8.700000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_3c741e
[H]c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])c2c([H])c([H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(F)c2[H])c([H])c1[H],-9.000000,0.864405,1.960114,-9.000000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_3c741e|CROSSOVER-c802e3_39d851|CROSSOVER-222ac6_36de69
[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(N([H])C(=O)c3c([H])c([H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])c2[H])c([H])c1[H],-10.400000,0.652718,1.659080,-10.400000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_3c741e|CROSSOVER-c802e3_a71501
[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(N([H])C(=O)c3c([H])c([H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(F)c3[H])c2[H])c([H])c1[H],-10.700000,0.629271,1.830375,-10.700000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_3c741e|CROSSOVER-c802e3_a71501|CROSSOVER-afe123_8ad45b
[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(N([H])C(=O)c3c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c3[H])c2[H])c([H])c1[H],-10.400000,0.744110,1.590755,-10.400000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_3c741e|CROSSOVER-c802e3_a71501|CROSSOVER-afe123_8ad45b|CROSSOVER-1e439f_59f935
[H]c1c([H])c(Cl)c([H])c(N([H])C([H])([H])c2c([H])c([H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c1[H],-8.800000,0.820453,1.714468,-8.800000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_464899
[H]c1c([H])c([H])c(C([H])([H])N([H])c2c([H])c([H])c([H])c(Cl)c2[H])c([H])c1[H],-8.400000,0.821057,1.350400,-8.400000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_464899|CROSSOVER-88cf1b_0d7377
[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(N([H])C([H])([H])c3c([H])c([H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])c2[H])c([H])c1[H],-10.400000,0.600566,1.731729,-10.400000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_464899|CROSSOVER-88cf1b_9860b4_CROSSOVER-afe123_88cf1b
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C3([H])C([H])([H])C3([H])[H])c(Cl)c2[H])c([H])c1[H],-9.100000,0.820466,2.303820,-9.100000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_6c6732
[H]c1c([H])c(C([H])([H])N([H])c2c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c2[H])c(F)c([H])c1Br,-8.900000,0.858220,1.741759,-8.900000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_6c6732|CROSSOVER-1a319f_19efc1
[H]c1c([H])c([H])c(C([H])([H])N([H])c2c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c2[H])c([H])c1[H],-8.100000,0.809333,1.332878,-8.100000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_6c6732|CROSSOVER-1a319f_19efc1|CROSSOVER-285b4a_09669a
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c(Cl)c2[H])c([H])c1[H],-8.300000,0.900091,1.623659,-8.300000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_6c6732|CROSSOVER-1a319f_2f8bd1
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C([H])([H])C([H])(F)F)c(Cl)c2[H])c([H])c1[H],-9.000000,0.889722,1.838066,-9.000000,ROOT-0|CROSSOVER-7c103a_412d72|CROSSOVER-a29a1e_6c6732|CROSSOVER-1a319f_7b2530
